,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
168,Mitte,52.516998291086,13.366999626219,Futurium,52.52405483533408,13.374330997467041,Science Museum
169,Mitte,52.516998291086,13.366999626219,Ono Spa,52.50906329196023,13.373944748060893,Spa
170,Mitte,52.516998291086,13.366999626219,Deutsche Kinemathek - Museum für Film und Fernsehen,52.50969523815914,13.373551960862034,Museum
171,Mitte,52.516998291086,13.366999626219,Käfer Bistro,52.51857994510607,13.376789387545713,Bistro
172,Mitte,52.516998291086,13.366999626219,Akademie der Künste,52.51575465779399,13.379631042480469,Art Gallery
173,Mitte,52.516998291086,13.366999626219,Berlin Hauptbahnhof,52.52485121086412,13.369781970977781,Train Station
174,Mitte,52.516998291086,13.366999626219,Kulturforum,52.50861404689629,13.367759585380554,Plaza
175,Mitte,52.516998291086,13.366999626219,POTS,52.5103754,13.3750895,Restaurant
176,Mitte,52.516998291086,13.366999626219,Motel One Berlin-Bellevue,52.519935646188955,13.355995416641235,Hotel
177,Mitte,52.516998291086,13.366999626219,Executive Lounge,52.51083746308041,13.37633728981018,Hotel Bar
178,Mitte,52.516998291086,13.366999626219,Spreetreppen,52.51952197596858,13.376800293044653,Plaza
179,Mitte,52.516998291086,13.366999626219,Otto Bock Science Center Berlin,52.51127586353251,13.376845728591805,Science Museum
180,Mitte,52.516998291086,13.366999626219,The Barn,52.510202,13.374193,Coffee Shop
181,Mitte,52.516998291086,13.366999626219,Madame Tussauds,52.51688885077902,13.381591848462108,Museum
182,Mitte,52.516998291086,13.366999626219,Tiergartenufer,52.517095726690926,13.357958793640137,Beach
183,Mitte,52.516998291086,13.366999626219,Brandenburger Tor Apotheke,52.51623,13.381599999999999,Pharmacy
184,Mitte,52.516998291086,13.366999626219,Midtown Grill,52.511053578881445,13.376660379184392,Steakhouse
185,Mitte,52.516998291086,13.366999626219,Friedrich-Ebert-Platz,52.518613637535495,13.377061486244202,Plaza
186,Mitte,52.516998291086,13.366999626219,Schiller Backstube Deli,52.510697,13.3755,Bistro
187,Mitte,52.516998291086,13.366999626219,Brandenburger Tor Museum,52.516724,13.379934,Museum
188,Mitte,52.516998291086,13.366999626219,Hertha BSC Fanshop,52.525451217010485,13.36915385083878,Sporting Goods Shop
189,Mitte,52.516998291086,13.366999626219,Trattoria Fidelia,52.51955951606555,13.355715313467421,Italian Restaurant
190,Mitte,52.516998291086,13.366999626219,Sony Style Store,52.509918899495396,13.3735540615478,Electronics Store
191,Mitte,52.516998291086,13.366999626219,Ort der Information,52.51397727081344,13.379687653890995,History Museum
192,Mitte,52.516998291086,13.366999626219,Wurst :-),52.51729048994672,13.377212234923464,BBQ Joint
193,Mitte,52.516998291086,13.366999626219,The QIU,52.509090735903364,13.373976945877075,Lounge
194,Mitte,52.516998291086,13.366999626219,Kunstgewerbemuseum,52.50953248351162,13.367021836212265,Art Museum
195,Mitte,52.516998291086,13.366999626219,Capital Beach,52.52268226174632,13.371111651553624,Cocktail Bar
196,Mitte,52.516998291086,13.366999626219,Lorenz Adlon Esszimmer,52.51603734048608,13.380403518676758,Modern European Restaurant
197,Mitte,52.516998291086,13.366999626219,Angkor Wat,52.52037677752846,13.355765000801808,Asian Restaurant
198,Mitte,52.516998291086,13.366999626219,Musikinstrumenten Museum,52.51050118268362,13.370726108551024,Museum
199,Mitte,52.516998291086,13.366999626219,Spreebogenpark,52.521992025025575,13.372485637664795,Park
200,Mitte,52.516998291086,13.366999626219,Max-Liebermann-Haus,52.5166821174975,13.377807140350342,Historic Site
201,Mitte,52.516998291086,13.366999626219,Berliner Currywurst,52.513904357588785,13.380191460155089,Hot Dog Joint
202,Mitte,52.516998291086,13.366999626219,Kaisersaal,52.50991129628376,13.373852682810556,German Restaurant
203,Mitte,52.516998291086,13.366999626219,Starbucks,52.51058,13.37643,Coffee Shop
204,Mitte,52.516998291086,13.366999626219,5x5 km TEAM-Staffel,52.518248914917706,13.369531083494456,Track
205,Mitte,52.516998291086,13.366999626219,Amrit,52.51052730164155,13.37708830833435,Indian Restaurant
206,Mitte,52.516998291086,13.366999626219,ALDI NORD,52.52440850146126,13.36388068859716,Supermarket
207,Mitte,52.516998291086,13.366999626219,Starbucks,52.51678544918839,13.379765924719646,Coffee Shop
208,Mitte,52.516998291086,13.366999626219,Ampelmann Shop,52.525321196205375,13.369288444519041,Souvenir Shop
209,Mitte,52.516998291086,13.366999626219,Ki-Nova,52.509467891950806,13.37336771392187,Bar
210,Mitte,52.516998291086,13.366999626219,Vapiano,52.524531030450646,13.369383823373937,Italian Restaurant
211,Mitte,52.516998291086,13.366999626219,Curry 36,52.52453788450955,13.369406461715696,Currywurst Joint
212,Mitte,52.516998291086,13.366999626219,Gosch Sylt,52.52498212901583,13.369450001689144,Seafood Restaurant
213,Mitte,52.516998291086,13.366999626219,Decathlon,52.525552074630426,13.369053482747404,Sporting Goods Shop
214,Mitte,52.516998291086,13.366999626219,Ristorante Don Giovanni,52.523414557698686,13.359653626757575,Italian Restaurant
215,Mitte,52.516998291086,13.366999626219,Fragrances Bar,52.510314,13.375331,Hotel Bar
216,Mitte,52.516998291086,13.366999626219,Häagen-Dazs,52.51035553018633,13.376376845660843,Ice Cream Shop
217,Neukölln,52.4830017089859,13.449999809222,Begur,52.480937,13.451923,Spanish Restaurant
218,Neukölln,52.4830017089859,13.449999809222,Mmaah,52.48382644556769,13.447483295633011,Korean Restaurant
219,Neukölln,52.4830017089859,13.449999809222,Bouldergarten,52.47947,13.451368,Climbing Gym
220,Neukölln,52.4830017089859,13.449999809222,Du Beast,52.482412,13.445145,Bar
221,Neukölln,52.4830017089859,13.449999809222,Comedy Café Berlin,52.480254812930724,13.446879386901855,Comedy Club
222,Neukölln,52.4830017089859,13.449999809222,WOLF,52.48290035056045,13.441838727774554,Movie Theater
223,Neukölln,52.4830017089859,13.449999809222,Wildenbruch Bar,52.48649057710639,13.446346341267697,Pub
224,Neukölln,52.4830017089859,13.449999809222,Sahara Imbiss,52.483254414816805,13.442168028778424,African Restaurant
225,Neukölln,52.4830017089859,13.449999809222,Nah am Wasser gebaut,52.48507856017328,13.444732081179938,Breakfast Spot
226,Neukölln,52.4830017089859,13.449999809222,hom,52.483472,13.444547,Café
227,Neukölln,52.4830017089859,13.449999809222,Passenger Coffee,52.487445322148886,13.4524220197121,Café
228,Neukölln,52.4830017089859,13.449999809222,Mae Charoen,52.47970186394123,13.444004335520644,Thai Restaurant
229,Neukölln,52.4830017089859,13.449999809222,Stella Takeaway + Casual Catering,52.48342466528559,13.441073674952667,Food & Drink Shop
